Threshold,Size,MeanMs,MedianMs
5,500,117,73
5,600,160,113
5,700,107,80
5,800,129,112
5,900,144,111
5,1000,160,156
5,1100,153,142
5,1200,180,183
5,1300,208,193
5,1400,245,192
5,1500,232,204
5,1600,239,234
5,1700,297,260
5,1800,263,262
5,1900,296,275
5,2000,276,275
10,500,50,47
10,600,59,56
10,700,76,75
10,800,93,91
10,900,103,98
10,1000,186,161
10,1100,160,126
10,1200,133,130
10,1300,155,144
10,1400,176,171
10,1500,282,237
10,1600,226,221
10,1700,299,280
10,1800,255,235
10,1900,243,239
10,2000,346,352
20,500,55,40
20,600,80,49
20,700,102,77
20,800,119,75
20,900,160,93
20,1000,150,94
20,1100,115,105
20,1200,169,126
20,1300,149,140
20,1400,225,200
20,1500,172,164
20,1600,214,188
20,1700,213,193
20,1800,200,197
20,1900,229,222
20,2000,228,213
30,500,44,41
30,600,47,47
30,700,58,55
30,800,65,64
30,900,115,118
30,1000,117,116
30,1100,117,114
30,1200,112,112
30,1300,122,122
30,1400,140,133
30,1500,155,144
30,1600,155,150
30,1700,164,160
30,1800,169,169
30,1900,178,179
30,2000,250,229
50,500,169,85
50,600,57,60
50,700,47,46
50,800,52,52
50,900,73,71
50,1000,196,127
50,1100,213,220
50,1200,162,147
50,1300,183,135
50,1400,141,136
50,1500,164,161
50,1600,136,130
50,1700,167,160
50,1800,234,198
50,1900,227,206
50,2000,253,278
