Threshold,Size,MeanMs,MedianMs
5,500,85,84
5,600,105,105
5,700,129,129
5,800,154,153
5,900,217,177
5,1000,216,207
5,1100,217,216
5,1200,284,305
5,1300,299,288
5,1400,302,295
5,1500,341,331
5,1600,385,384
5,1700,435,422
5,1800,425,419
5,1900,475,448
5,2000,461,456
10,500,82,81
10,600,102,102
10,700,128,127
10,800,149,148
10,900,204,181
10,1000,189,188
10,1100,211,210
10,1200,232,231
10,1300,270,260
10,1400,292,292
10,1500,322,313
10,1600,337,337
10,1700,405,383
10,1800,688,564
10,1900,1089,872
10,2000,767,633
20,500,148,126
20,600,169,173
20,700,181,123
20,800,142,142
20,900,168,167
20,1000,773,518
20,1100,616,381
20,1200,399,437
20,1300,495,483
20,1400,725,667
20,1500,553,444
20,1600,322,322
20,1700,350,345
20,1800,380,369
20,1900,400,393
20,2000,644,420
30,500,128,125
30,600,160,165
30,700,192,192
30,800,185,198
30,900,168,168
30,1000,185,184
30,1100,206,205
30,1200,279,302
30,1300,252,251
30,1400,394,408
30,1500,300,299
30,1600,326,324
30,1700,350,349
30,1800,435,378
30,1900,423,398
30,2000,454,416
50,500,82,83
50,600,110,110
50,700,133,133
50,800,162,162
50,900,167,167
50,1000,191,191
50,1100,218,218
50,1200,246,246
50,1300,289,275
50,1400,436,302
50,1500,329,330
50,1600,358,358
50,1700,349,349
50,1800,375,375
50,1900,399,398
50,2000,565,484
