Threshold,Size,MeanMs,MedianMs
5,500,61,61
5,600,75,75
5,700,126,132
5,800,161,146
5,900,109,110
5,1000,123,123
5,1100,136,137
5,1200,161,150
5,1300,173,163
5,1400,203,187
5,1500,211,207
5,1600,229,215
5,1700,296,258
5,1800,253,247
5,1900,595,471
5,2000,278,270
10,500,56,56
10,600,72,72
10,700,88,81
10,800,101,95
10,900,120,116
10,1000,146,138
10,1100,158,141
10,1200,186,177
10,1300,235,233
10,1400,187,186
10,1500,328,224
10,1600,505,357
10,1700,263,246
10,1800,261,269
10,1900,277,266
10,2000,291,282
20,500,74,68
20,600,90,89
20,700,97,91
20,800,206,168
20,900,151,129
20,1000,151,149
20,1100,261,240
20,1200,192,192
20,1300,215,205
20,1400,249,232
20,1500,226,228
20,1600,239,229
20,1700,255,248
20,1800,305,292
20,1900,353,324
20,2000,421,353
30,500,70,68
30,600,102,89
30,700,116,111
30,800,154,138
30,900,206,165
30,1000,169,153
30,1100,227,226
30,1200,220,214
30,1300,275,239
30,1400,347,346
30,1500,336,339
30,1600,373,355
30,1700,396,364
30,1800,433,376
30,1900,494,453
30,2000,355,348
50,500,112,105
50,600,156,167
50,700,174,160
50,800,243,239
50,900,199,180
50,1000,214,209
50,1100,247,239
50,1200,398,374
50,1300,539,541
50,1400,481,379
50,1500,459,471
50,1600,505,505
50,1700,396,338
50,1800,411,395
50,1900,450,448
50,2000,523,467
