distribution,size,runs,avg_quick_ms,avg_hybrid_ms
random,500,5,0.19058,0.10916
random,1000,5,0.29776,0.1954
random,1500,5,0.52994,0.3525
random,2000,5,0.62764,0.4954
random,2500,5,0.65694,0.4441
random,3000,5,0.94476,0.70562
random,3500,5,1.07486,0.8844
random,4000,5,1.45602,3.48336
random,4500,5,1.70452,1.04932
random,5000,5,1.28056,1.0578
random,5500,5,2.0473,1.19044
random,6000,5,2.1965,1.74758
random,6500,5,2.56794,1.69728
random,7000,5,2.58194,2.14506
random,7500,5,3.83752,2.0951
random,8000,5,2.52288,1.92526
random,8500,5,2.83216,2.08528
random,9000,5,3.42164,2.43684
random,9500,5,4.06758,3.31086
random,10000,5,3.08728,2.42512
random,10500,5,3.35558,2.46054
random,11000,5,3.12036,2.6012
random,11500,5,3.3975,2.86336
random,12000,5,4.0917,3.53324
random,12500,5,3.31786,2.89972
random,13000,5,4.16204,3.21258
random,13500,5,4.45602,3.44072
random,14000,5,4.27654,3.21924
random,14500,5,3.92026,3.31616
random,15000,5,4.34384,3.61312
random,15500,5,4.34218,3.79536
random,16000,5,4.61934,3.5955
random,16500,5,5.9359,4.4479
random,17000,5,4.80334,3.75354
random,17500,5,4.92282,3.91636
random,18000,5,5.83544,4.78804
random,18500,5,5.81882,4.42418
random,19000,5,5.6232,4.55382
random,19500,5,5.63084,4.6981
random,20000,5,6.07304,4.67716
random,20500,5,5.71378,4.65086
random,21000,5,5.96424,4.73756
random,21500,5,6.2601,4.84186
random,22000,5,8.20636,6.04378
random,22500,5,6.3958,5.35642
random,23000,5,7.4358,5.72918
random,23500,5,6.95276,5.63498
random,24000,5,6.8781,5.44122
random,24500,5,7.33526,6.0173
random,25000,5,8.57096,6.55414
random,25500,5,7.99962,6.8761
random,26000,5,7.62176,6.25394
random,26500,5,7.90704,6.66388
random,27000,5,7.81522,6.48586
random,27500,5,8.31298,6.43964
random,28000,5,11.7839,11.7061
random,28500,5,11.333,8.59468
random,29000,5,9.5678,7.37822
random,29500,5,8.75204,6.78304
random,30000,5,10.1476,6.85674
random,30500,5,10.0476,8.80312
random,31000,5,10.1248,7.7907
random,31500,5,9.5703,8.08402
random,32000,5,9.6137,7.8207
random,32500,5,9.30494,7.67366
random,33000,5,12.266,8.8973
random,33500,5,11.9371,9.14338
random,34000,5,10.156,8.10052
random,34500,5,10.1779,8.1832
random,35000,5,11.0695,9.44716
random,35500,5,11.9311,9.20836
random,36000,5,10.8858,9.41688
random,36500,5,10.8896,8.53144
random,37000,5,12.7504,10.1778
random,37500,5,11.5816,9.80148
